,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,Per 90 Minutes,,,,,,,,,
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
72, Parma,it Serie A,25,24.5,42.4,13,143,"1,170",13,9,4,13,8,1,1,26,3,12.2,11.5,8.4,19.8,129,298,0.69,0.31,1,0.62,0.92,0.94,0.64,1.59,0.88,1.53
73, Pisa,it Serie A,26,27.6,38.7,13,143,"1,170",13,9,5,14,5,4,4,23,1,13.4,10.5,9.2,19.7,167,346,0.69,0.38,1.08,0.38,0.77,1.03,0.71,1.74,0.81,1.51
74, Rayo Vallecano,es La Liga,24,29.4,53.9,15,165,"1,350",15,13,10,23,12,1,2,39,3,20.4,18.8,14.4,33.3,254,553,0.87,0.67,1.53,0.8,1.47,1.36,0.96,2.32,1.25,2.22
75, RB Leipzig,de Bundesliga,26,25.7,49.6,13,143,"1,170",13,27,20,47,26,1,2,21,0,25.5,24,17.6,41.6,278,472,2.08,1.54,3.62,2,3.54,1.96,1.35,3.31,1.85,3.2
76, Real Madrid,es La Liga,23,25.8,59.4,16,176,"1,440",16,32,25,57,27,5,7,30,4,37.8,32.3,27.3,59.6,397,892,2,1.56,3.56,1.69,3.25,2.36,1.71,4.07,2.02,3.73
77, Real Sociedad,es La Liga,27,26.5,51.9,15,165,"1,350",15,19,12,31,16,3,3,35,0,20.3,18,15.1,33.1,254,591,1.27,0.8,2.07,1.07,1.87,1.35,1.01,2.36,1.2,2.21
78, Rennes,fr Ligue 1,28,26.3,49.7,15,165,"1,350",15,23,18,41,21,2,2,27,4,22.1,20.5,17,37.5,235,576,1.53,1.2,2.73,1.4,2.6,1.47,1.13,2.6,1.37,2.5
79, Roma,it Serie A,23,26.9,57.9,14,154,"1,260",14,15,10,25,14,1,2,28,1,17,15.6,12.8,28.4,240,594,1.07,0.71,1.79,1,1.71,1.21,0.92,2.13,1.11,2.03
80, Sassuolo,it Serie A,25,26.7,45.8,14,154,"1,260",14,19,13,32,17,2,3,32,1,15.1,12.6,10.3,22.9,225,421,1.36,0.93,2.29,1.21,2.14,1.08,0.73,1.81,0.9,1.63
81, Sevilla,es La Liga,31,27.6,54,15,165,"1,350",15,17,14,31,15,2,2,50,1,13.6,12.3,10.7,23,254,489,1.13,0.93,2.07,1,1.93,0.91,0.71,1.62,0.82,1.53
82, St. Pauli,de Bundesliga,20,27.5,48.5,13,143,"1,170",13,11,7,18,10,1,2,23,0,11.1,9.5,7.5,17,173,507,0.85,0.54,1.38,0.77,1.31,0.85,0.58,1.43,0.73,1.31
83, Strasbourg,fr Ligue 1,25,21.8,52,15,165,"1,350",15,25,19,44,23,2,2,33,4,24,22.4,18.6,41,246,600,1.67,1.27,2.93,1.53,2.8,1.6,1.24,2.84,1.49,2.73
84, Stuttgart,de Bundesliga,24,25.4,58,13,143,"1,170",13,21,17,38,19,2,3,26,1,18.5,16.1,13.7,29.8,243,579,1.62,1.31,2.92,1.46,2.77,1.42,1.05,2.47,1.24,2.29
85, Sunderland,eng Premier League,25,25.9,42.1,15,165,"1,350",15,17,12,29,15,2,2,29,2,13.1,11.5,8.1,19.6,194,429,1.13,0.8,1.93,1,1.8,0.87,0.54,1.41,0.76,1.3
